Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,2680.00,2717.00,2661.30,2700.70,2697.696804006038513936,54318,3130,146533495.00,17499,32.22,55.70,20.70
30-July-2018,2680.00,2699.00,2657.20,2668.95,2676.912939028491808004,41626,2603,111429178.00,12459,29.93,41.80,-11.05
27-July-2018,2640.00,2687.95,2631.65,2678.05,2666.547450980392156862,56100,4015,149593312.00,14852,26.47,56.30,38.05
26-July-2018,2654.80,2667.30,2604.00,2619.25,2633.498827551951577318,86571,6482,227984627.00,27273,31.50,63.30,-35.55
25-July-2018,2680.00,2698.00,2624.05,2638.80,2667.085773375421791662,82683,6058,220522653.00,26650,32.23,73.95,-41.20
24-July-2018,2685.00,2724.00,2616.00,2650.80,2671.134330200908862117,210593,15556,562522192.00,41038,19.49,108.00,-34.20
23-July-2018,2849.75,2854.00,2658.65,2689.10,2715.531518915671503096,231369,13771,628289812.00,49651,21.46,195.35,-160.65
20-July-2018,3119.10,3152.45,2820.00,2841.10,2948.324857435521105658,327045,19205,964234903.00,57775,17.67,332.45,-278.00
19-July-2018,3123.95,3142.45,3097.70,3112.80,3116.135534885362797183,56657,2203,176550891.00,20107,35.49,44.75,-11.15
18-July-2018,3103.40,3161.95,3100.00,3105.05,3124.640620879603855958,136516,2720,426563439.00,95173,69.72,61.95,1.65
17-July-2018,3115.90,3125.95,3082.55,3095.25,3096.809787730872568189,71089,2029,220149111.00,48150,67.73,43.40,-20.65
16-July-2018,3139.00,3165.00,3095.00,3101.75,3126.058846261944912872,28464,1918,88980139.00,3368,11.83,70.00,-37.25
13-July-2018,3124.95,3147.90,3060.05,3134.00,3095.567027648583246091,58267,2519,180369404.00,17313,29.71,87.85,9.05
12-July-2018,3188.00,3213.95,3075.00,3101.90,3131.112613673151063892,67958,3399,212784151.00,7695,11.32,138.95,-86.10
11-July-2018,3098.90,3165.00,3056.60,3154.35,3139.949746175598787094,88053,4672,276481995.00,27537,31.27,108.40,55.45
10-July-2018,3042.30,3113.00,3034.35,3089.05,3084.441770482192583907,136460,3759,420902924.00,70542,51.69,78.65,46.75
9-July-2018,3060.00,3081.00,2996.45,3017.95,3030.416337981681656902,60595,2359,183628078.00,25472,42.04,84.55,-42.05
6-July-2018,2979.00,3076.00,2964.15,3023.35,3041.096524879699274510,284911,5785,866441852.00,198476,69.66,111.85,44.35
5-July-2018,2944.00,2990.70,2913.70,2969.80,2949.418962203715566944,37464,2764,110497032.00,8753,23.36,77.00,25.80
4-July-2018,2873.00,2989.00,2859.35,2978.20,2940.384341812793282291,60735,3394,178584243.00,18420,30.33,129.65,105.20
3-July-2018,2840.05,2879.05,2839.30,2865.05,2865.828999131456598375,19573,1483,56092871.00,4297,21.95,39.75,25.00
2-July-2018,2811.00,2910.00,2811.00,2839.15,2870.557160210554730732,59272,4235,170143664.00,13172,22.22,99.00,28.15
29-June-2018,2735.00,2827.75,2726.05,2811.15,2783.132237604855759394,29326,1948,81618136.00,8375,28.56,101.70,76.15
28-June-2018,2792.00,2794.55,2705.00,2718.20,2744.953781073741382912,19148,1802,52560375.00,6840,35.72,89.55,-73.80
27-June-2018,2818.00,2822.95,2750.00,2765.45,2780.462806511436225015,14559,1489,40480758.00,4623,31.75,72.95,-52.55
26-June-2018,2804.25,2822.50,2789.05,2809.75,2808.359803577692037881,14255,1248,40033169.00,4606,32.31,33.45,5.50
25-June-2018,2835.00,2839.00,2794.90,2799.60,2809.100110011001100110,50904,2493,142994432.00,33537,65.88,44.10,-35.40
22-June-2018,2855.00,2855.00,2808.00,2830.75,2824.131334341228512234,35718,1779,100872323.00,22624,63.34,47.00,-24.25
21-June-2018,2875.05,2875.65,2826.35,2832.95,2857.556383411065740328,103346,922,295317022.00,96199,93.08,49.30,-42.10
20-June-2018,2873.00,2879.00,2859.50,2873.30,2871.047481375410103500,110338,1059,316785637.00,98403,89.18,19.50,0.30
19-June-2018,2892.00,2892.05,2842.00,2849.40,2852.595757676717196957,54027,982,154117191.00,40895,75.69,50.05,-42.60
18-June-2018,2882.55,2937.00,2866.00,2901.90,2903.495707931029352693,67217,3402,195164271.00,37702,56.09,71.00,19.35
15-June-2018,2904.00,2904.00,2854.00,2873.75,2878.070519939424533064,19810,970,57014577.00,4529,22.86,50.00,-30.25
14-June-2018,2899.00,2910.00,2880.00,2890.20,2891.135811908630411927,20926,992,60499908.00,12125,57.94,30.00,-8.80
13-June-2018,2906.00,2935.00,2893.00,2908.30,2917.028944756864042342,30230,1283,88181785.00,7715,25.52,42.00,2.30
12-June-2018,2884.00,2912.50,2870.15,2886.95,2897.572846398387221834,25794,1482,74739994.00,11473,44.48,42.35,2.95
11-June-2018,2894.00,2913.50,2874.00,2882.00,2897.034355918487456779,27186,1422,78758776.00,11141,40.98,39.50,-12.00
8-June-2018,2888.00,2899.90,2868.15,2875.40,2879.000627802690582959,11150,1012,32100857.00,3856,34.58,31.75,-12.60
7-June-2018,2908.90,2936.35,2867.00,2889.00,2900.862670815857123528,36955,2519,107201380.00,7778,21.05,69.35,-19.90
6-June-2018,2860.90,2948.60,2835.00,2884.55,2896.851507547388333397,129515,3781,375185723.00,79107,61.08,113.60,23.65
5-June-2018,2890.00,2891.00,2837.10,2844.15,2858.649608274478020917,25911,1391,74070470.00,8334,32.16,53.90,-45.85
4-June-2018,2929.00,2929.00,2870.00,2876.60,2895.494819113032151104,50667,2486,146706036.00,14109,27.85,59.00,-52.40
1-June-2018,2777.00,2944.15,2777.00,2893.25,2875.589322293687060407,139618,8719,401484030.00,40963,29.34,167.15,116.25
31-May-2018,2775.00,2785.45,2731.10,2752.15,2750.964409086150947346,19106,829,52559926.00,11528,60.34,54.35,-22.85
30-May-2018,2810.00,2810.00,2756.95,2763.10,2771.052784036047634373,12428,1020,34438644.00,4483,36.07,53.05,-46.90
29-May-2018,2822.00,2833.00,2766.00,2794.00,2795.960182226955389894,16902,1956,47257319.00,4189,24.78,67.00,-28.00
28-May-2018,2786.30,2813.50,2761.25,2791.25,2792.591040784488522398,8974,849,25060712.00,2629,29.30,52.25,4.95
25-May-2018,2768.05,2775.55,2730.40,2759.85,2752.720607028753993610,12520,1023,34464062.00,3127,24.98,45.15,-8.20
24-May-2018,2775.80,2813.30,2725.00,2736.70,2749.777172204171470495,19082,1756,52471248.00,5736,30.06,88.30,-39.10
23-May-2018,2815.10,2830.00,2762.40,2775.80,2786.281254414465319960,21237,1876,59172255.00,5635,26.53,67.60,-39.30
22-May-2018,2725.00,2825.00,2725.00,2811.25,2796.459023630829286427,43037,4700,120351207.00,10026,23.30,100.00,86.25
21-May-2018,2775.00,2777.00,2705.25,2719.90,2742.790972405889094595,22686,1637,62222956.00,5830,25.70,71.75,-55.10
18-May-2018,2844.00,2942.05,2701.10,2777.50,2838.427114527309894320,132571,7398,376293121.00,29473,22.23,240.95,-66.50
17-May-2018,2843.80,2843.80,2791.00,2819.15,2817.113130711164084227,10068,642,28362695.00,4060,40.33,52.80,-24.65
16-May-2018,2826.95,2827.65,2787.65,2808.25,2805.327339300244100895,12290,1015,34477473.00,3808,30.98,40.00,-18.70
15-May-2018,2818.00,2873.40,2808.00,2827.80,2838.243582964814458757,41608,1028,118093639.00,32717,78.63,65.40,9.80
14-May-2018,2839.00,2850.00,2805.05,2834.70,2834.471911868114696460,12799,572,36278406.00,7502,58.61,44.95,-4.30
11-May-2018,2829.00,2836.80,2800.00,2816.45,2813.579642337284258681,9618,802,27061009.00,3887,40.41,36.80,-12.55
10-May-2018,2880.00,2889.60,2823.00,2827.80,2842.787862768937992282,18917,1306,53777018.00,7739,40.91,66.60,-52.20
9-May-2018,2884.05,2901.70,2866.70,2874.25,2876.738559970327785247,21569,494,62048374.00,16789,77.84,35.00,-9.80
8-May-2018,2942.65,2942.65,2885.00,2891.75,2900.450029279718914698,10246,651,29718011.00,4098,40.00,57.65,-50.90
7-May-2018,2875.20,2941.40,2875.20,2917.05,2923.692683272006793093,14132,1132,41317625.00,6935,49.07,66.20,41.85
