Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,28575.00,28600.00,27758.75,27820.95,27992.860259981429897864,2154,636,60296621.00,986,45.78,841.25,-754.05
30-July-2018,29067.90,29067.90,28475.00,28570.35,28595.603296703296703296,910,311,26021999.00,158,17.36,592.90,-497.55
27-July-2018,28500.00,29045.00,28234.35,28963.80,28921.663736759071444669,4437,600,128325422.00,3539,79.76,810.65,463.80
26-July-2018,27526.90,28892.00,27499.65,28266.70,28236.153908464965573106,2469,988,69715064.00,710,28.76,1392.35,739.80
25-July-2018,27800.00,27926.45,27112.30,27346.20,27583.865346534653465346,1010,401,27859704.00,260,25.74,814.15,-453.80
24-July-2018,26950.00,27815.00,26870.05,27700.80,27567.941376380628717077,1177,485,32447467.00,506,42.99,944.95,750.80
23-July-2018,27800.00,27800.00,26889.50,26999.55,27029.566593886462882096,916,380,24759083.00,378,41.27,910.50,-800.45
20-July-2018,26966.45,27199.00,26802.00,27052.40,26999.998969072164948453,970,460,26189999.00,399,41.13,397.00,85.95
19-July-2018,27414.00,27414.00,26850.00,26982.00,27156.431746031746031746,630,253,17108552.00,247,39.21,564.00,-432.00
18-July-2018,27217.00,27680.00,27160.10,27262.50,27471.775202780996523754,863,360,23708142.00,247,28.62,519.90,45.50
17-July-2018,27420.00,27431.75,27001.05,27215.95,27150.180080971659919028,6175,885,167652362.00,5181,83.90,430.70,-204.05
16-July-2018,27600.00,27728.95,27051.05,27392.55,27417.623737373737373737,792,339,21714758.00,265,33.46,677.90,-207.45
13-July-2018,28130.05,28179.95,27531.40,27601.30,27633.421348314606741573,1424,650,39349992.00,530,37.22,648.55,-528.75
12-July-2018,28288.40,28288.95,27950.00,28020.35,28066.760658914728682170,1032,438,28964897.00,421,40.79,338.95,-268.05
11-July-2018,28285.00,28597.40,28088.10,28178.25,28392.565110565110565110,1221,564,34667322.00,567,46.44,509.30,-106.75
10-July-2018,27802.95,28399.00,27700.00,28280.70,28070.964155528554070473,1646,663,46204807.00,809,49.15,699.00,477.75
9-July-2018,28200.00,28200.00,27644.00,27686.60,27784.659415308721847074,24731,479,687142412.00,489,1.98,556.00,-513.40
6-July-2018,27960.00,28200.00,27455.25,27586.00,27830.919384389886405276,2729,1068,75950579.00,1147,42.03,744.75,-374.00
