Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,3210.00,3303.45,3190.05,3293.80,3265.725378508396541038,33883,2563,110652573.00,11830,34.91,113.40,83.80
30-July-2018,3181.60,3227.05,3180.00,3205.00,3200.875142155982522296,16707,1485,53477021.00,4757,28.47,47.05,23.40
27-July-2018,3157.85,3230.00,3136.30,3193.80,3197.872750729951789230,44181,3350,141285216.00,10820,24.49,93.70,35.95
26-July-2018,3052.10,3187.65,3052.10,3137.70,3121.662639948442019753,66721,6350,208280453.00,14685,22.01,135.55,85.60
25-July-2018,3141.85,3199.00,3071.10,3111.95,3131.932761364422611222,72265,6086,226329121.00,14414,19.95,127.90,-29.90
24-July-2018,3185.60,3208.00,3037.10,3101.45,3125.607388664841665299,115799,7913,361942210.00,39044,33.72,170.90,-84.15
23-July-2018,3385.10,3385.10,3094.00,3163.90,3185.098191260585185647,112067,8915,356944399.00,26604,23.74,291.10,-221.20
20-July-2018,3462.00,3489.75,3323.00,3373.15,3386.703752988876182555,48095,3435,162883517.00,14610,30.38,166.75,-88.85
19-July-2018,3510.00,3510.00,3446.05,3458.90,3476.422061562054989593,9129,968,31736257.00,3630,39.76,63.95,-51.10
18-July-2018,3505.00,3514.80,3476.70,3501.50,3496.565759401620610845,9626,866,33657942.00,3018,31.35,38.10,-3.50
17-July-2018,3415.00,3510.00,3400.00,3479.55,3472.458733907720967366,30061,3518,104385582.00,11025,36.68,110.00,64.55
16-July-2018,3470.00,3471.00,3415.00,3423.85,3430.500862856562785504,9851,1100,33793864.00,3949,40.09,56.00,-46.15
13-July-2018,3505.00,3520.00,3439.00,3460.60,3468.942752072012733959,18219,1251,63200668.00,6227,34.18,81.00,-44.40
12-July-2018,3551.00,3576.95,3485.00,3498.05,3540.605271362136603361,76982,2959,272562875.00,10882,14.14,91.95,-52.95
11-July-2018,3552.05,3579.40,3526.15,3540.70,3542.256730626208537855,33615,2025,119072960.00,11726,34.88,53.25,-11.35
