Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,1350.00,1370.05,1335.00,1365.00,1348.844537266265046774,2863072,11533,3861839027.00,2584785,90.28,35.05,15.00
30-July-2018,1385.00,1385.00,1350.00,1353.15,1357.531589056480049645,1592102,3836,2161328758.00,1530021,96.10,35.00,-31.85
27-July-2018,1380.00,1388.30,1370.00,1374.55,1377.446776807034833036,1266384,3332,1744376559.00,1202236,94.93,18.30,-5.45
26-July-2018,1380.00,1389.70,1369.00,1375.20,1384.203780566190649190,894575,3795,1238274097.00,825824,92.31,20.70,-4.80
25-July-2018,1380.00,1392.10,1366.10,1383.70,1382.509856975186181538,192554,6957,266207803.00,59462,30.88,26.00,3.70
24-July-2018,1362.00,1379.80,1356.50,1376.00,1368.759058226420414493,113488,4283,155337728.00,32699,28.81,23.30,14.00
23-July-2018,1350.10,1368.05,1336.70,1355.75,1351.346730119742093951,130280,3960,176053452.00,28699,22.03,31.35,5.65
20-July-2018,1321.05,1367.05,1321.05,1348.35,1352.097404856157403778,816448,8815,1103917222.00,92523,11.33,46.00,27.30
19-July-2018,1322.40,1330.30,1310.85,1316.55,1318.631877120176329791,116146,4704,153153818.00,39532,34.04,19.45,-5.85
18-July-2018,1340.00,1343.20,1314.35,1322.40,1323.635954058342223112,184669,5154,244434528.00,61494,33.30,28.85,-17.60
17-July-2018,1332.70,1348.80,1313.50,1327.40,1333.148632557929886901,266227,7887,354920161.00,70379,26.44,35.30,-5.30
16-July-2018,1325.00,1384.40,1288.35,1333.05,1345.631129283919323015,959431,29572,1291040220.00,178388,18.59,96.05,8.05
13-July-2018,1310.00,1331.35,1300.15,1309.10,1310.360844191256202966,1105721,13084,1448893503.00,112035,10.13,31.20,-0.90
12-July-2018,1324.00,1326.70,1284.60,1294.60,1300.768454335155010960,494965,14793,643834858.00,184262,37.23,42.10,-29.40
11-July-2018,1310.00,1341.90,1293.00,1320.35,1317.368579575654452887,299143,8928,394081589.00,55946,18.70,48.90,10.35
10-July-2018,1305.20,1315.50,1295.00,1302.50,1305.333669642269646656,136779,6252,178542234.00,47688,34.87,20.50,-2.70
9-July-2018,1292.55,1303.00,1279.50,1299.15,1294.259863899743969815,148420,4028,192094049.00,44403,29.92,23.50,6.60
6-July-2018,1280.00,1301.35,1269.50,1284.50,1281.987670702714656935,198957,6373,255060421.00,44166,22.20,31.85,4.50
5-July-2018,1349.80,1350.00,1268.85,1284.50,1287.522106243808349133,457269,15352,588743946.00,200665,43.88,81.15,-65.30
4-July-2018,1353.00,1354.95,1339.70,1344.60,1345.357610474631751227,65988,2287,88777458.00,18113,27.45,15.25,-8.40
3-July-2018,1340.00,1358.00,1333.30,1353.65,1346.731092987693876064,137330,4698,184946581.00,52889,38.51,24.70,13.65
