Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,1943.60,1948.50,1929.05,1941.25,1934.699919630299377134,89586,7227,173322027.00,46685,52.11,19.45,-2.35
30-July-2018,1948.55,1955.30,1935.00,1944.95,1943.436435885996493157,96383,5887,187314234.00,28663,29.74,20.30,-3.60
27-July-2018,1965.00,1966.80,1940.00,1943.10,1948.065559506695921918,132170,7148,257475825.00,67227,50.86,26.80,-21.90
26-July-2018,1975.00,1985.05,1955.55,1963.30,1969.395512139197726214,83737,4277,164911272.00,38383,45.84,29.50,-11.70
25-July-2018,2000.15,2003.00,1971.00,1979.40,1979.679562003832466465,91325,5758,180794236.00,34064,37.30,32.00,-20.75
24-July-2018,2009.05,2012.00,1987.00,1996.85,1996.799150870858823922,59826,3756,119460506.00,17730,29.64,25.00,-12.20
23-July-2018,2000.00,2008.85,1991.20,2005.05,2005.096091922070099844,86334,4188,173107966.00,36751,42.57,17.65,5.05
20-July-2018,1983.05,2000.00,1983.00,1995.95,1993.201882005331277900,62274,3603,124124654.00,21386,34.34,17.00,12.90
19-July-2018,1999.00,2009.95,1970.55,1981.45,1984.886419070734256911,83227,4013,165196142.00,25400,30.52,39.40,-17.55
18-July-2018,2005.50,2009.90,1993.00,1997.30,1999.583665466289038971,78031,3924,156029513.00,27822,35.66,16.90,-8.20
17-July-2018,1988.00,2005.45,1982.00,1997.85,1994.730910170497921791,117890,5198,235158827.00,38259,32.45,23.45,9.85
16-July-2018,1985.05,1996.00,1978.40,1988.80,1988.295690578158458244,112080,5663,222848181.00,39625,35.35,17.60,3.75
13-July-2018,1975.00,1998.00,1975.00,1981.25,1983.594125400769148770,975624,8702,1935242035.00,801754,82.18,23.00,6.25
12-July-2018,1984.00,1992.00,1961.50,1971.00,1972.806700414937759336,602500,13828,1188616037.00,359504,59.67,30.50,-13.00
11-July-2018,1900.00,1995.00,1894.00,1979.60,1956.985751229303165903,1157363,44817,2264942900.00,294374,25.43,101.00,79.60
10-July-2018,1895.20,1900.00,1872.60,1877.00,1882.593829355002539360,433180,18579,815501995.00,209864,48.45,27.40,-18.20
9-July-2018,1927.95,1930.00,1882.00,1887.65,1890.654933507052444126,374551,11215,708146696.00,206640,55.17,48.00,-40.30
6-July-2018,1882.80,1920.30,1880.00,1913.30,1908.633957550695975548,211358,8164,403405056.00,98826,46.76,40.30,30.50
5-July-2018,1875.20,1887.00,1864.00,1881.70,1876.180947379857313584,110452,5257,207227938.00,46388,42.00,23.00,6.50
4-July-2018,1879.00,1880.00,1860.10,1869.65,1867.083847955323365159,138775,9587,259104561.00,80734,58.18,19.90,-9.35
3-July-2018,1859.95,1880.00,1858.00,1875.90,1873.289814413875962846,163967,7300,307157711.00,73061,44.56,22.00,15.95
2-July-2018,1829.95,1859.95,1829.95,1855.60,1854.448335754854048342,151420,8013,280800567.00,80437,53.12,30.00,25.65
29-June-2018,1846.00,1868.00,1843.00,1847.20,1851.531448280066715730,229631,12213,425169018.00,106610,46.43,25.00,1.20
28-June-2018,1865.00,1872.00,1830.15,1847.30,1848.326226913877749204,333642,14288,616679259.00,142048,42.57,41.85,-17.70
27-June-2018,1859.80,1886.20,1852.00,1859.80,1871.340697929313368406,474432,14800,887823910.00,268177,56.53,34.20,0.00
26-June-2018,1821.00,1862.00,1821.00,1852.70,1835.951334736360130644,1065791,20665,1956740409.00,893456,83.83,41.00,31.70
25-June-2018,1812.00,1824.00,1809.00,1820.45,1817.883831973405862798,215085,8218,390999544.00,104621,48.64,15.00,8.45
