Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,520.75,520.75,507.35,517.45,515.960911114857205968,344062,2626,177522543.00,233599,67.89,13.40,-3.30
30-July-2018,527.00,528.75,511.00,513.65,513.285805234875549912,1083808,3068,556303262.00,976880,90.13,17.75,-13.35
27-July-2018,530.00,531.05,523.40,526.10,526.629428442093726919,83946,1707,44208434.00,12081,14.39,7.65,-3.90
26-July-2018,541.90,541.90,518.25,524.85,527.612387174417605088,116330,3485,61377149.00,26732,22.98,23.65,-17.05
25-July-2018,551.00,551.00,535.60,540.50,540.551570569807806282,59055,2328,31922273.00,9033,15.30,15.40,-10.50
24-July-2018,540.00,554.80,530.40,551.85,544.667724761088997497,119082,3436,64860122.00,16455,13.82,24.40,11.85
23-July-2018,564.00,564.00,524.25,540.30,537.870243210915695742,180584,5449,97130760.00,22633,12.53,39.75,-23.70
20-July-2018,562.45,569.00,561.00,564.40,564.975352594824044913,36515,1018,20630075.00,3112,8.52,8.00,1.95
19-July-2018,568.00,575.50,561.65,563.70,566.998793137190945267,30658,915,17383049.00,6402,20.88,13.85,-4.30
18-July-2018,575.25,577.90,560.80,568.70,570.001251294442526751,46352,1008,26420698.00,7406,15.98,17.10,-6.55
17-July-2018,568.00,579.95,564.75,572.85,573.247507419031149255,46839,1044,26850340.00,5316,11.35,15.20,4.85
16-July-2018,583.05,589.00,563.60,571.40,581.641469510636484989,70418,1792,40958029.00,6273,8.91,25.40,-11.65
13-July-2018,580.05,585.05,569.00,583.00,577.822713864306784660,47460,1391,27423466.00,8318,17.53,16.05,2.95
12-July-2018,583.00,592.05,575.35,578.40,585.546964129483814523,57150,1490,33464009.00,9234,16.16,16.70,-4.60
11-July-2018,584.30,588.35,578.00,579.25,580.713737065202195651,379113,2366,220156127.00,205630,54.24,10.35,-5.05
10-July-2018,595.75,595.75,583.00,585.95,588.476190234802708950,197272,2858,116089875.00,8252,4.18,12.75,-9.80
9-July-2018,579.00,594.00,579.00,589.50,589.561485606946893176,60689,1222,35779897.00,8561,14.11,15.00,10.50
6-July-2018,570.00,587.25,567.05,577.45,581.239398731597567536,61337,1567,35651481.00,7396,12.06,20.20,7.45
5-July-2018,586.00,586.00,565.05,570.25,573.715945842240859507,36486,893,20932600.00,4349,11.92,20.95,-15.75
4-July-2018,561.50,584.30,560.60,581.10,573.268464486723524740,57922,1337,33204856.00,9173,15.84,23.70,19.60
3-July-2018,553.30,564.50,552.80,559.45,559.717273758341465987,37913,1017,21220561.00,4736,12.49,11.70,6.15
2-July-2018,570.00,570.50,550.40,556.40,558.841300491922166205,114449,2552,63958828.00,9501,8.30,20.10,-13.60
29-June-2018,560.00,562.10,548.50,552.30,552.811041220984067179,62638,2092,34626978.00,13164,21.02,13.60,-7.70
28-June-2018,564.90,573.20,553.10,556.65,559.160916010795610646,61877,1606,34599200.00,12483,20.17,20.10,-8.25
27-June-2018,581.00,584.50,560.75,568.60,576.292764263371506863,38683,1325,22292733.00,9901,25.60,23.75,-12.40
26-June-2018,597.00,597.00,581.25,585.85,588.224949375043642203,57284,1707,33695878.00,7992,13.95,15.75,-11.15
25-June-2018,579.50,604.00,579.50,597.40,597.767457397543609173,109266,2378,65315659.00,17443,15.96,24.50,17.90
22-June-2018,580.50,585.15,576.95,582.60,582.284543325526932084,24766,588,14420859.00,6185,24.97,8.20,2.10
21-June-2018,584.80,589.95,575.60,580.25,580.792392358621852992,71139,2257,41316990.00,23165,32.56,14.35,-4.55
20-June-2018,583.05,590.00,578.45,585.15,585.271507944933998655,28257,921,16538017.00,7043,24.92,11.55,2.10
19-June-2018,594.00,598.50,583.55,590.70,588.643669948592837849,57385,1010,33779317.00,14407,25.11,14.95,-3.30
18-June-2018,588.00,600.70,588.00,594.45,594.955915448822038002,70206,1413,41769475.00,14874,21.19,12.70,6.45
15-June-2018,584.40,591.00,577.10,581.75,584.009126548533793319,31885,672,18621131.00,6425,20.15,13.90,-2.65
14-June-2018,576.50,587.95,568.95,584.40,576.969778471860720689,34578,668,19950461.00,9059,26.20,19.00,7.90
13-June-2018,589.00,589.00,573.60,576.40,579.639087172831494700,18492,704,10718686.00,5639,30.49,15.40,-12.60
12-June-2018,584.95,587.00,578.40,581.50,582.355162027420024927,19256,532,11213831.00,5892,30.60,8.60,-3.45
11-June-2018,585.00,593.25,577.85,584.05,587.105107485897240432,65590,990,38508224.00,13193,20.11,15.40,-0.95
8-June-2018,579.90,584.10,569.35,580.20,576.585420687607372372,47149,695,27185426.00,7735,16.41,14.75,0.30
7-June-2018,572.00,578.95,569.45,575.45,574.608958363912128773,40878,891,23488865.00,8796,21.52,9.50,3.45
6-June-2018,568.80,576.65,559.00,568.10,567.471601585836094063,276195,1957,156732819.00,202930,73.47,17.65,-0.70
5-June-2018,566.50,575.30,559.40,566.25,566.746817878128586846,58373,1083,33082712.00,13234,22.67,15.90,-0.25
4-June-2018,600.00,602.90,556.85,566.15,575.827136652706685279,128940,2548,74247151.00,13002,10.08,46.05,-33.85
1-June-2018,591.00,598.25,584.00,595.70,590.863535248770679355,565963,2544,334406899.00,427776,75.58,14.25,4.70
31-May-2018,604.00,607.65,585.00,587.85,595.555864219657323105,55796,1579,33229635.00,12069,21.63,22.65,-16.15
30-May-2018,599.00,608.80,581.00,604.80,597.528021427030046078,78779,1411,47072660.00,11842,15.03,27.80,5.80
29-May-2018,584.00,600.40,579.95,594.10,593.944684183052027144,57470,1038,34134001.00,9279,16.15,20.45,10.10
28-May-2018,570.00,589.65,563.90,584.90,581.875026319852889568,71239,1366,41452195.00,13515,18.97,25.75,14.90
25-May-2018,540.00,568.40,536.90,564.45,553.444536267472610502,127056,2033,70318449.00,27316,21.50,31.50,24.45
24-May-2018,566.00,569.60,537.75,542.05,549.392686221977971651,87342,1870,47985056.00,34651,39.67,31.85,-23.95
23-May-2018,563.80,576.00,563.30,565.05,570.095841557509420419,44584,994,25417153.00,8273,18.56,12.70,1.25
22-May-2018,570.00,574.95,560.85,563.75,568.635492313930770081,54254,1285,30850750.00,13998,25.80,14.10,-6.25
21-May-2018,585.00,585.00,553.55,562.60,561.933911512110392743,82904,1510,46586569.00,18895,22.79,31.45,-22.40
18-May-2018,595.65,595.65,557.40,572.15,568.331675592960979342,203892,4059,115878282.00,45703,22.42,38.25,-23.50
17-May-2018,580.00,607.15,580.00,590.65,592.848593114575958641,303685,5298,180039225.00,35924,11.83,27.15,10.65
16-May-2018,626.00,630.00,580.40,610.10,608.690404535759210982,1371325,9778,834712369.00,858403,62.60,49.60,-15.90
15-May-2018,614.00,628.50,614.00,621.35,621.921278976818545163,31275,741,19450588.00,6853,21.91,14.50,7.35
14-May-2018,628.55,631.25,617.60,619.55,624.000803369282079996,82154,1379,51264162.00,22829,27.79,13.65,-9.00
11-May-2018,614.00,629.50,614.00,624.40,625.935654860111629866,28487,740,17831029.00,7565,26.56,15.50,10.40
10-May-2018,629.90,629.90,614.15,617.60,619.946221563078262762,146992,1139,91127135.00,122375,83.25,15.75,-12.30
9-May-2018,634.00,634.00,617.15,621.15,623.947360367253251721,32675,739,20387480.00,7823,23.94,16.85,-12.85
8-May-2018,628.55,638.70,622.50,625.00,629.334039251188205244,61858,1727,38929345.00,15128,24.46,16.20,-3.55
7-May-2018,620.00,630.00,611.40,627.60,621.957674278351928506,72958,1786,45376788.00,17004,23.31,18.60,7.60
4-May-2018,640.00,643.05,608.10,616.25,618.156099155543448651,91775,3020,56731276.00,32020,34.89,34.95,-23.75
3-May-2018,636.00,644.00,630.00,637.90,635.454806287201054995,56114,1551,35657911.00,9903,17.65,14.00,1.90
2-May-2018,675.00,675.00,632.95,637.55,650.093827645856266708,127180,2671,82678933.00,26391,20.75,42.05,-37.45
30-April-2018,693.40,693.40,664.75,667.75,668.941633021772394594,54243,1526,36285401.00,13460,24.81,28.65,-25.65
27-April-2018,646.50,669.95,646.50,668.25,665.101699203103259265,47434,1653,31548434.00,13486,28.43,23.45,21.75
26-April-2018,655.25,662.75,645.30,651.75,656.039412474600047447,96949,1950,63602365.00,55485,57.23,17.45,-3.50
25-April-2018,660.15,668.50,654.45,655.75,656.799181791616610928,92397,1158,60686274.00,56752,61.42,14.05,-4.40
24-April-2018,661.10,670.85,659.15,663.90,664.637169597484736591,54706,979,36359641.00,16043,29.33,11.70,2.80
23-April-2018,665.00,680.55,660.00,664.50,673.999314599040438656,33557,776,22617395.00,6766,20.16,20.55,-0.50
20-April-2018,669.00,676.65,663.50,667.65,667.524947320891029500,26576,707,17740143.00,4818,18.13,13.15,-1.35
19-April-2018,674.75,681.85,671.40,674.70,675.470797740616043852,35939,3817,24275745.00,10270,28.58,10.45,-0.05
18-April-2018,674.20,679.00,665.90,674.75,673.006072615699309639,62576,2472,42114028.00,14766,23.60,13.10,0.55
17-April-2018,677.00,689.00,670.20,674.20,680.349653124816273737,136072,4115,92576538.00,31810,23.38,18.80,-2.80
16-April-2018,654.80,677.30,652.15,675.50,669.344970805434752241,107383,2318,71876271.00,23777,22.14,25.15,20.70
13-April-2018,645.00,670.00,639.00,662.15,656.729095337083231433,196272,5756,128897533.00,89024,45.36,31.00,17.15
12-April-2018,625.00,646.05,624.00,642.15,640.154096694763995466,76757,1700,49136308.00,32717,42.62,22.05,17.15
11-April-2018,636.05,642.35,628.80,630.00,630.321703661856469267,546963,1473,344762650.00,493553,90.24,13.55,-6.05
10-April-2018,642.00,651.80,639.35,641.30,643.072471234758715438,34938,807,22467666.00,8990,25.73,12.45,-0.70
9-April-2018,654.00,654.00,642.00,645.75,645.933889697365685604,33671,1160,21749240.00,7407,22.00,12.00,-8.25
6-April-2018,651.00,653.95,638.00,645.40,643.439163270198993047,50052,1601,32205417.00,20711,41.38,15.95,-5.60
5-April-2018,643.15,656.15,643.15,648.80,648.919914695400847433,35637,730,23125559.00,9599,26.94,13.00,5.65
4-April-2018,650.00,654.55,640.00,645.35,648.384405526709495731,45452,1166,29470368.00,6986,15.37,14.55,-4.65
3-April-2018,659.80,659.80,642.55,649.35,649.687454889156212407,58190,1884,37805313.00,12489,21.46,17.25,-10.45
2-April-2018,622.30,666.10,620.00,662.30,651.327754572138180176,141728,3566,92311380.00,17572,12.40,46.10,40.00
28-March-2018,611.00,621.00,606.65,616.95,614.193046063484582056,55163,1483,33880731.00,16919,30.67,14.35,5.95
27-March-2018,625.00,627.45,615.20,616.85,619.367009315772566655,24904,705,15424716.00,7801,31.32,12.25,-8.15
26-March-2018,603.50,627.40,602.50,619.75,615.386648321724424570,34887,956,21468994.00,11310,32.42,24.90,16.25
23-March-2018,600.00,614.70,588.45,609.40,603.549993111998897919,108885,1673,65717541.00,55026,50.54,26.25,9.40
22-March-2018,612.00,625.00,602.65,605.55,608.508462209250591731,56191,1217,34192699.00,10071,17.92,22.35,-6.45
21-March-2018,625.50,628.65,611.20,615.40,619.353406991213846675,26519,790,16424633.00,5038,19.00,17.45,-10.10
20-March-2018,610.00,627.00,608.10,623.20,619.712608736320269385,42764,1317,26501390.00,6494,15.19,18.90,13.20
19-March-2018,630.00,632.85,606.00,614.70,615.160091393754760091,72215,1858,44423786.00,11351,15.72,26.85,-15.30
16-March-2018,643.10,643.10,628.80,631.65,637.145105436526929249,35519,1294,22630757.00,12707,35.78,14.30,-11.45
15-March-2018,658.00,658.00,640.00,643.00,646.145934537779961064,54963,2281,35514119.00,14627,26.61,18.00,-15.00
14-March-2018,640.00,645.80,632.05,642.75,641.531319237397084165,73118,1446,46907487.00,12157,16.63,13.75,2.75
13-March-2018,645.00,657.55,636.80,642.70,646.249278383579217447,49888,1089,32240084.00,7864,15.76,20.75,-2.30
12-March-2018,652.00,656.50,642.55,650.00,649.264979093117003430,39939,831,25930994.00,10142,25.39,13.95,-2.00
9-March-2018,650.00,650.45,636.20,645.70,643.725207879904012500,35838,907,23069824.00,4366,12.18,14.25,-4.30
8-March-2018,635.00,649.30,621.85,646.10,634.008268464374837051,53698,1310,34044976.00,7685,14.31,27.45,11.10
7-March-2018,644.00,644.00,629.15,634.00,636.686448005533779109,34696,824,22090473.00,5828,16.80,14.85,-10.00
6-March-2018,664.85,670.20,641.05,645.10,652.589631782945736434,45408,990,29632790.00,11679,25.72,29.15,-19.75
5-March-2018,679.50,686.70,661.15,664.50,674.416809190113665602,66071,1554,44559393.00,11222,16.98,25.55,-15.00
1-March-2018,681.00,687.30,674.10,676.80,679.586141266036937826,42558,776,28921827.00,9215,21.65,13.20,-4.20
28-February-2018,680.00,683.50,668.05,681.05,674.726082842724978973,152192,873,102687912.00,135814,89.24,15.45,1.05
27-February-2018,685.00,693.00,673.50,675.80,679.341721273537794450,41051,845,27887657.00,7068,17.22,19.50,-9.20
26-February-2018,668.00,681.65,667.90,679.30,676.267242951453477769,54834,993,37082438.00,10135,18.48,13.75,11.30
23-February-2018,635.00,669.95,635.00,666.65,646.533973772491613296,295110,2503,190798641.00,243681,82.57,34.95,31.65
22-February-2018,640.00,641.00,624.70,630.50,633.494229201527438108,46614,1010,29529700.00,7165,15.37,16.30,-9.50
21-February-2018,653.20,653.45,628.00,635.50,636.998422327128635374,81766,2312,52084813.00,15060,18.42,25.45,-17.70
20-February-2018,652.35,654.45,645.30,650.20,649.844407661385670371,38061,889,24733728.00,6028,15.84,9.15,-2.15
19-February-2018,653.00,657.75,637.00,652.25,647.933158704992991888,43521,984,28198699.00,5366,12.33,20.75,-0.75
16-February-2018,656.00,660.85,643.00,652.45,650.176088846869875285,514053,831,334224969.00,478085,93.00,17.85,-3.55
15-February-2018,647.25,661.35,647.25,655.90,655.378119223659889094,43280,1353,28364765.00,7698,17.79,14.10,8.65
14-February-2018,655.00,668.70,647.70,651.75,658.785020957423339951,54396,944,35835270.00,15308,28.14,21.00,-3.25
12-February-2018,664.00,673.05,658.00,661.50,666.228274896351006287,36421,840,24264700.00,8454,23.21,15.05,-2.50
9-February-2018,660.00,671.60,651.95,663.65,662.461343059988275906,46059,1112,30512307.00,10284,22.33,19.65,3.65
8-February-2018,645.00,670.00,644.65,665.50,658.973099559907386132,56579,1171,37284039.00,10679,18.87,25.35,20.50
7-February-2018,652.30,668.20,645.95,648.00,654.844570142901676598,221341,2092,144943952.00,11905,5.38,22.25,-4.30
6-February-2018,648.00,662.40,602.05,649.35,635.936611420504440813,179922,3795,114418987.00,28688,15.94,60.35,1.35
5-February-2018,638.05,660.70,620.05,659.10,644.032287974347334769,103537,2224,66681171.00,19798,19.12,40.65,21.05
2-February-2018,674.05,674.05,640.10,644.80,653.715175296959683576,159786,3371,104454533.00,20487,12.82,33.95,-29.25
1-February-2018,697.00,697.35,668.40,674.05,680.797338843808275792,138887,3569,94553900.00,29494,21.24,28.95,-22.95
31-January-2018,713.00,717.25,684.00,695.10,692.348932454000662510,166035,3333,114954155.00,37969,22.87,33.25,-17.90
30-January-2018,725.00,734.00,694.60,712.90,712.561568242791162962,307886,6542,219387731.00,45069,14.64,39.40,-12.10
29-January-2018,704.85,721.50,704.85,719.70,715.582797970126854890,820938,1605,587449111.00,780742,95.10,16.65,14.85
25-January-2018,703.30,718.00,703.05,704.85,708.855716231113416769,61684,1120,43725056.00,18277,29.63,14.95,1.55
24-January-2018,700.00,716.40,700.00,707.40,710.242164727149474635,44255,872,31431767.00,13370,30.21,16.40,7.40
23-January-2018,719.75,720.45,705.20,707.00,711.772673911080340748,66442,2219,47291600.00,27509,41.40,15.25,-12.75
22-January-2018,708.00,722.15,708.00,714.40,716.413383279414268687,29365,1685,21037479.00,10436,35.54,14.15,6.40
19-January-2018,719.00,721.20,708.40,715.40,715.107688809156833514,39577,1609,28301817.00,11239,28.40,12.80,-3.60
18-January-2018,737.00,737.00,703.90,718.30,718.553536024810322866,90285,2760,64874606.00,24897,27.58,33.10,-18.70
17-January-2018,720.00,733.00,707.95,730.90,724.658731948516207705,119727,2149,86761216.00,20934,17.48,25.05,10.90
16-January-2018,741.10,741.10,717.30,722.65,727.400188182160331200,53140,1197,38654046.00,13232,24.90,23.80,-18.45
15-January-2018,760.00,763.00,735.50,740.05,748.840692408169244479,81917,1365,61342783.00,11099,13.55,27.50,-19.95
12-January-2018,750.00,766.00,740.30,750.85,746.507672152624252845,61065,1520,45585491.00,15082,24.70,25.70,0.85
11-January-2018,768.00,769.20,754.00,755.65,762.965685251776487770,81481,1558,62167207.00,18651,22.89,15.20,-12.35
10-January-2018,771.50,775.35,765.00,768.25,769.503376995497339336,48860,1042,37597935.00,6296,12.89,10.35,-3.25
9-January-2018,769.45,783.00,767.55,771.65,775.962584367515784890,91860,1593,71279923.00,16813,18.30,15.45,2.20
8-January-2018,765.00,771.05,764.00,767.00,767.805743486397005901,55576,1059,42671572.00,9121,16.41,7.05,2.00
5-January-2018,767.00,775.25,765.60,767.90,770.308438632146328532,56585,1116,43587903.00,8866,15.67,9.65,0.90
4-January-2018,775.00,775.00,761.35,765.95,765.698128651036586049,89187,2267,68290319.00,8005,8.98,13.65,-9.05
3-January-2018,783.80,783.80,767.05,770.40,773.361523424557683387,60364,2959,46683195.00,13964,23.13,16.75,-13.40
2-January-2018,786.40,794.90,766.95,775.60,782.689132665140872859,177394,3296,138844356.00,35046,19.76,27.95,-10.80
1-January-2018,764.00,776.20,764.00,766.35,768.172097274099976158,25166,474,19331819.00,7201,28.61,12.20,2.35
29-December-2017,763.05,777.50,763.05,771.30,771.181178603156940692,111437,552,85938117.00,5697,5.11,14.45,8.25
28-December-2017,782.90,782.90,760.00,763.05,765.412854736296488272,15434,389,11813382.00,5342,34.61,22.90,-19.85
27-December-2017,769.00,777.00,763.55,769.00,769.195392713816646687,19187,514,14758552.00,5296,27.60,13.45,0.00
26-December-2017,778.90,778.90,768.00,769.95,770.776192417448022829,19624,444,15125712.00,4105,20.92,10.90,-8.95
22-December-2017,787.90,787.90,771.45,774.85,777.992672962767106350,537052,1141,417822521.00,14132,2.63,16.45,-13.05
21-December-2017,780.00,782.00,775.00,777.40,778.089698287578146235,14716,423,11450368.00,3119,21.19,7.00,-2.60
20-December-2017,786.15,792.35,777.20,778.45,782.720902639414358951,44669,1277,34963360.00,9900,22.16,15.15,-7.70
19-December-2017,762.00,792.85,762.00,785.30,779.184083271097834204,107120,1721,83466199.00,28104,26.24,30.85,23.30
18-December-2017,765.00,770.10,745.65,761.30,759.198257825702100265,49708,3239,37738227.00,20446,41.13,24.45,-3.70
15-December-2017,750.30,770.00,750.30,759.10,761.633049755091518432,19395,710,14771873.00,4845,24.98,19.70,8.80
14-December-2017,745.00,753.55,742.00,750.30,746.870161749094052775,223247,628,166736523.00,206042,92.29,11.55,5.30
13-December-2017,767.90,767.90,742.15,745.25,753.831517721666731509,308436,947,232508778.00,289965,94.01,25.75,-22.65
12-December-2017,745.05,765.65,745.05,760.00,760.989469390782008973,188783,1434,143661875.00,159177,84.32,20.60,14.95
11-December-2017,760.00,760.00,747.80,753.80,752.156269552095984689,27171,1092,20436838.00,9550,35.15,12.20,-6.20
8-December-2017,760.00,760.00,745.35,747.20,751.959164957564237240,59973,1524,45097247.00,15052,25.10,14.65,-12.80
7-December-2017,737.00,753.55,737.00,748.80,748.442861724303811000,74836,1537,56010470.00,17100,22.85,16.55,11.80
6-December-2017,738.00,744.90,731.90,734.10,738.387613082811412665,43110,1428,31831890.00,10288,23.86,13.00,-3.90
5-December-2017,728.65,742.00,721.25,737.30,730.300521876128269931,30467,632,22250066.00,8728,28.65,20.75,8.65
4-December-2017,725.00,730.95,711.20,725.45,720.014558263596196526,49113,1044,35362075.00,16213,33.01,19.75,0.45
1-December-2017,726.00,730.95,721.85,724.45,726.884387224347676567,46526,1166,33819023.00,16180,34.78,9.10,-1.55
30-November-2017,735.90,735.90,713.05,718.80,725.451570680628272251,25212,838,18290085.00,8724,34.60,22.85,-17.10
29-November-2017,743.20,743.20,731.15,735.85,736.766973744818056195,21710,535,15995211.00,7034,32.40,12.05,-7.35
28-November-2017,746.00,747.00,740.00,743.10,743.386903934380647852,21579,484,16041546.00,5064,23.47,7.00,-2.90
27-November-2017,740.00,746.70,730.00,745.25,741.982656295015845577,34710,1002,25754218.00,9894,28.50,16.70,5.25
24-November-2017,740.90,743.85,737.00,739.30,740.483637428301459922,75141,1938,55640681.00,19196,25.55,6.85,-1.60
23-November-2017,719.50,738.40,717.00,735.85,731.339650496654203507,124634,2441,91149786.00,50514,40.53,21.40,16.35
22-November-2017,708.00,721.80,708.00,718.75,718.098462597986590775,49369,1409,35451803.00,21440,43.43,13.80,10.75
21-November-2017,704.05,713.40,699.75,708.30,706.941258632730658803,25774,1100,18220704.00,7267,28.20,13.65,4.25
20-November-2017,702.05,714.20,702.05,708.70,709.724741235392320534,29950,631,21256256.00,6754,22.55,12.15,6.65
17-November-2017,701.00,722.55,701.00,708.60,715.935984324882906338,74513,1497,53346538.00,20734,27.83,21.55,7.60
16-November-2017,689.00,708.80,689.00,705.30,702.362831858407079646,28250,606,19841750.00,6833,24.19,19.80,16.30
15-November-2017,701.00,702.00,691.55,696.10,695.920163625499839132,43514,780,30282270.00,10297,23.66,10.45,-4.90
14-November-2017,695.05,708.60,695.05,701.00,701.764618706863699877,23617,601,16573575.00,5547,23.49,13.55,5.95
13-November-2017,703.00,714.90,694.55,699.65,706.259723571630049832,31907,743,22534629.00,6925,21.70,20.35,-3.35
10-November-2017,688.00,711.85,675.00,707.90,701.385203000772624180,80246,1912,56283357.00,17324,21.59,36.85,19.90
9-November-2017,691.05,698.75,681.05,694.50,691.149446209324289516,58235,1336,40249088.00,16254,27.91,17.70,3.45
8-November-2017,715.00,715.00,691.05,694.40,697.930389105917146703,45309,1142,31622528.00,10403,22.96,23.95,-20.60
7-November-2017,709.90,717.80,699.75,707.85,709.791646328707900425,71705,1673,50895610.00,25492,35.55,18.05,-2.05
6-November-2017,695.00,708.90,690.10,706.30,703.305087916199027310,53460,1613,37598690.00,15321,28.66,18.80,11.30
3-November-2017,710.15,710.15,688.25,694.90,695.669548831700226122,92870,1921,64606831.00,28489,30.68,21.90,-15.25
2-November-2017,715.00,718.60,703.55,708.20,711.675186740369136948,117409,3139,83557072.00,23658,20.15,15.05,-6.80
1-November-2017,730.90,730.90,704.60,709.00,717.590041701097296154,260185,5225,186706165.00,47947,18.43,26.30,-21.90
31-October-2017,722.00,732.20,719.85,725.30,724.862874364287059709,26545,648,19241485.00,9134,34.41,12.35,3.30
30-October-2017,722.00,728.65,718.45,722.70,724.302010408686233587,37853,694,27417004.00,14435,38.13,10.20,0.70
27-October-2017,721.00,722.60,711.90,718.05,717.408386628865299663,45501,974,32642799.00,7307,16.06,10.70,-2.95
26-October-2017,690.00,725.00,686.00,720.60,709.505428260444866177,71662,1758,50844578.00,18615,25.98,39.00,30.60
25-October-2017,699.80,699.80,689.55,693.40,693.169319684576578341,20417,506,14152438.00,5567,27.27,10.25,-6.40
24-October-2017,686.00,696.00,684.50,693.85,693.166463752075262866,36140,660,25051036.00,6436,17.81,11.50,7.85
23-October-2017,684.15,691.20,682.30,685.60,686.465392620624408703,26425,603,18139848.00,5138,19.44,8.90,1.45
19-October-2017,690.05,691.45,680.00,685.90,686.780449391012179756,9524,321,6540897.00,4440,46.62,11.45,-4.15
